antecedencia,trecho_unico,data,media_preco_atual,media_preco_referencia,mediana_preco_atual,mediana_preco_referencia
4,belo-horizonte-mg-brasilia-df,2026-04-02,325.67,414.03,314.9,406.99
7,belo-horizonte-mg-brasilia-df,2026-04-05,328.31,393.01,321.06,393.98
4,belo-horizonte-mg-cabo-frio-rj,2026-04-02,200.65,268.66,202.49,250.49
7,belo-horizonte-mg-cabo-frio-rj,2026-04-05,350.99,264.99,359.99,268.99
4,belo-horizonte-mg-governador-valadares-mg,2026-04-02,169.92,191.02,179.9,188.91
7,belo-horizonte-mg-governador-valadares-mg,2026-04-05,180.33,166.2,188.91,180.87
4,belo-horizonte-mg-montes-claros-mg,2026-04-02,213.5,232.67,212.23,235.64
7,belo-horizonte-mg-montes-claros-mg,2026-04-05,244.87,235.26,247.35,235.64
4,belo-horizonte-mg-rio-de-janeiro-rj,2026-04-02,239.11,264.44,189.99,279.99
7,belo-horizonte-mg-rio-de-janeiro-rj,2026-04-05,219.73,203.05,169.99,189.4
4,belo-horizonte-mg-sao-paulo-sp,2026-04-02,233.53,256.62,239.99,249.99
7,belo-horizonte-mg-sao-paulo-sp,2026-04-05,207.2,209.15,199.99,199.99
4,belo-horizonte-mg-uberlandia-mg,2026-04-02,248.77,257.08,223.15,312.82
7,belo-horizonte-mg-uberlandia-mg,2026-04-05,257.36,248.53,251.71,267.98
4,campinas-sp-rio-de-janeiro-rj,2026-04-02,173.14,206.15,185.89,214.99
7,campinas-sp-rio-de-janeiro-rj,2026-04-05,178.24,198.85,179.99,209.99
4,campinas-sp-sao-paulo-sp,2026-04-02,54.83,55.12,56.2,56.2
7,campinas-sp-sao-paulo-sp,2026-04-05,55.05,54.89,56.2,56.2
4,governador-valadares-mg-sao-paulo-sp,2026-04-02,263.68,295.31,240.03,279.93
7,governador-valadares-mg-sao-paulo-sp,2026-04-05,267.23,263.42,240.54,261.95
4,ipatinga-mg-vitoria-es,2026-04-02,211.38,213.8,211.38,211.0
9,ipatinga-mg-vitoria-es,2026-04-05,181.66,188.71,191.57,180.0
4,ribeirao-preto-sp-sao-paulo-sp,2026-04-02,160.7,171.62,158.9,158.9
7,ribeirao-preto-sp-sao-paulo-sp,2026-04-05,167.63,159.7,158.9,157.1
4,rio-de-janeiro-rj-sao-paulo-sp,2026-04-02,153.66,183.18,149.99,179.99
7,rio-de-janeiro-rj-sao-paulo-sp,2026-04-05,145.11,158.82,147.98,149.99
4,rio-de-janeiro-rj-uberlandia-mg,2026-04-02,308.38,436.59,294.98,445.5
7,rio-de-janeiro-rj-uberlandia-mg,2026-04-05,283.43,331.11,294.98,307.05
4,rio-de-janeiro-rj-vitoria-es,2026-04-02,207.11,258.54,215.9,248.64
7,rio-de-janeiro-rj-vitoria-es,2026-04-05,210.29,182.07,215.9,179.89
4,sao-jose-dos-campos-sp-sao-paulo-sp,2026-04-02,47.2,47.26,47.8,47.75
7,sao-jose-dos-campos-sp-sao-paulo-sp,2026-04-05,46.18,46.68,47.8,47.75
4,sao-paulo-sp-vitoria-es,2026-04-02,318.73,315.41,288.49,312.72
7,sao-paulo-sp-vitoria-es,2026-04-05,285.57,330.87,247.97,329.82
