antecedencia,trecho_unico,data,media_preco_atual,media_preco_referencia,mediana_preco_atual,mediana_preco_referencia
17,belo-horizonte-mg-brasilia-df,2026-04-17,314.03,374.78,326.61,338.4
21,belo-horizonte-mg-brasilia-df,2026-04-21,295.36,330.99,277.25,299.03
17,belo-horizonte-mg-cabo-frio-rj,2026-04-17,233.57,265.97,219.9,329.9
21,belo-horizonte-mg-cabo-frio-rj,2026-04-21,272.98,293.35,339.9,339.9
17,belo-horizonte-mg-governador-valadares-mg,2026-04-17,148.97,167.02,157.46,188.53
21,belo-horizonte-mg-governador-valadares-mg,2026-04-21,123.47,139.97,116.59,136.08
17,belo-horizonte-mg-montes-claros-mg,2026-04-17,161.51,218.25,141.99,228.62
21,belo-horizonte-mg-montes-claros-mg,2026-04-21,185.93,223.68,183.37,219.25
17,belo-horizonte-mg-rio-de-janeiro-rj,2026-04-17,191.57,206.24,169.9,219.99
21,belo-horizonte-mg-rio-de-janeiro-rj,2026-04-21,195.14,180.25,229.9,179.9
17,belo-horizonte-mg-sao-paulo-sp,2026-04-17,189.92,223.11,174.99,229.99
21,belo-horizonte-mg-sao-paulo-sp,2026-04-21,196.62,225.4,188.09,240.0
17,belo-horizonte-mg-uberlandia-mg,2026-04-17,155.22,230.71,163.23,267.95
21,belo-horizonte-mg-uberlandia-mg,2026-04-21,120.71,215.48,88.54,228.98
17,campinas-sp-rio-de-janeiro-rj,2026-04-17,176.53,222.36,159.99,229.99
21,campinas-sp-rio-de-janeiro-rj,2026-04-21,204.42,217.66,205.17,214.99
17,campinas-sp-sao-paulo-sp,2026-04-17,55.32,55.2,56.2,56.2
21,campinas-sp-sao-paulo-sp,2026-04-21,55.53,54.57,56.2,56.2
17,governador-valadares-mg-sao-paulo-sp,2026-04-17,287.53,338.0,306.97,319.95
21,governador-valadares-mg-sao-paulo-sp,2026-04-21,307.39,338.29,323.13,316.69
17,ipatinga-mg-vitoria-es,2026-04-17,106.18,163.68,88.02,168.0
21,ipatinga-mg-vitoria-es,2026-04-21,90.16,152.35,90.24,152.11
17,ribeirao-preto-sp-sao-paulo-sp,2026-04-17,168.88,170.04,158.9,158.9
21,ribeirao-preto-sp-sao-paulo-sp,2026-04-21,159.31,159.75,158.9,158.9
17,rio-de-janeiro-rj-sao-paulo-sp,2026-04-17,144.25,164.49,144.99,159.99
21,rio-de-janeiro-rj-sao-paulo-sp,2026-04-21,150.95,151.41,153.98,139.9
17,rio-de-janeiro-rj-uberlandia-mg,2026-04-17,392.35,366.08,302.97,382.97
21,rio-de-janeiro-rj-uberlandia-mg,2026-04-21,324.2,301.46,319.99,265.68
17,rio-de-janeiro-rj-vitoria-es,2026-04-17,211.28,354.45,215.9,395.89
21,rio-de-janeiro-rj-vitoria-es,2026-04-21,207.3,336.91,215.91,329.89
17,sao-jose-dos-campos-sp-sao-paulo-sp,2026-04-17,46.23,47.26,50.3,47.75
21,sao-jose-dos-campos-sp-sao-paulo-sp,2026-04-21,45.04,46.68,44.25,47.75
17,sao-paulo-sp-vitoria-es,2026-04-17,348.37,406.1,336.18,395.92
21,sao-paulo-sp-vitoria-es,2026-04-21,360.5,420.43,336.41,439.99
