antecedencia,trecho_unico,data,media_preco_atual,media_preco_referencia,mediana_preco_atual,mediana_preco_referencia
1,belo-horizonte-mg-brasilia-df,2026-03-23,256.09,238.55,237.59,242.46
3,belo-horizonte-mg-brasilia-df,2026-03-24,241.26,227.19,237.75,239.48
3,belo-horizonte-mg-brasilia-df,2026-03-25,295.07,253.41,236.75,229.99
4,belo-horizonte-mg-brasilia-df,2026-03-26,252.98,243.78,236.25,228.98
5,belo-horizonte-mg-brasilia-df,2026-03-27,262.86,253.53,234.67,229.99
6,belo-horizonte-mg-brasilia-df,2026-03-28,268.01,246.94,232.48,228.98
7,belo-horizonte-mg-brasilia-df,2026-03-29,258.81,229.85,238.52,226.99
1,belo-horizonte-mg-cabo-frio-rj,2026-03-23,188.82,195.19,184.99,211.99
2,belo-horizonte-mg-cabo-frio-rj,2026-03-24,219.99,194.62,218.49,189.99
3,belo-horizonte-mg-cabo-frio-rj,2026-03-25,223.99,196.13,229.99,185.99
4,belo-horizonte-mg-cabo-frio-rj,2026-03-26,240.99,192.12,239.99,187.49
5,belo-horizonte-mg-cabo-frio-rj,2026-03-27,228.69,188.09,210.99,194.49
6,belo-horizonte-mg-cabo-frio-rj,2026-03-28,188.74,185.74,191.99,192.49
7,belo-horizonte-mg-cabo-frio-rj,2026-03-29,217.13,239.59,217.99,255.49
1,belo-horizonte-mg-governador-valadares-mg,2026-03-23,160.38,155.99,162.37,162.61
2,belo-horizonte-mg-governador-valadares-mg,2026-03-24,140.46,143.32,118.79,149.47
3,belo-horizonte-mg-governador-valadares-mg,2026-03-25,138.22,146.99,118.79,173.41
4,belo-horizonte-mg-governador-valadares-mg,2026-03-26,147.05,143.96,136.32,134.35
5,belo-horizonte-mg-governador-valadares-mg,2026-03-27,157.6,147.37,157.71,136.88
6,belo-horizonte-mg-governador-valadares-mg,2026-03-28,138.05,134.84,118.79,118.79
7,belo-horizonte-mg-governador-valadares-mg,2026-03-29,145.25,146.96,137.21,153.47
1,belo-horizonte-mg-montes-claros-mg,2026-03-23,167.65,212,129.52,212.23
2,belo-horizonte-mg-montes-claros-mg,2026-03-24,161.68,191.16,134.97,181.79
3,belo-horizonte-mg-montes-claros-mg,2026-03-25,154.6,183.03,129.52,165.4
4,belo-horizonte-mg-montes-claros-mg,2026-03-26,173.88,172.71,162.68,159.95
5,belo-horizonte-mg-montes-claros-mg,2026-03-27,164.05,166,148.25,153.7
6,belo-horizonte-mg-montes-claros-mg,2026-03-28,150.09,142.21,141.99,141.99
7,belo-horizonte-mg-montes-claros-mg,2026-03-29,159.75,191.36,141.99,176.73
1,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-23,156.81,178.77,160.37,199.99
2,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-24,134.15,147.92,139.99,146.4
3,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-25,128.5,113.66,129.99,109.99
4,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-26,145.36,163.58,136.9,189.99
5,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-27,139.93,160.6,133.45,169.99
6,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-28,118.35,111.78,109.99,109.99
7,belo-horizonte-mg-rio-de-janeiro-rj,2026-03-29,142.52,154.91,157.95,164.99
1,belo-horizonte-mg-sao-paulo-sp,2026-03-23,175.37,191.18,174.99,179.14
2,belo-horizonte-mg-sao-paulo-sp,2026-03-24,169.02,167.52,159.99,157.49
3,belo-horizonte-mg-sao-paulo-sp,2026-03-25,166.65,170.25,157,157.49
4,belo-horizonte-mg-sao-paulo-sp,2026-03-26,166.55,191.21,159.99,178.29
5,belo-horizonte-mg-sao-paulo-sp,2026-03-27,166.68,167.7,159.99,158.93
6,belo-horizonte-mg-sao-paulo-sp,2026-03-28,173.11,171,164.99,159.99
7,belo-horizonte-mg-sao-paulo-sp,2026-03-29,164.4,169.89,159.99,159.99
1,belo-horizonte-mg-uberlandia-mg,2026-03-23,180.97,181.13,163.83,189.49
2,belo-horizonte-mg-uberlandia-mg,2026-03-24,160.23,147.97,163.23,163.23
3,belo-horizonte-mg-uberlandia-mg,2026-03-25,124.95,160.79,88.44,163.23
4,belo-horizonte-mg-uberlandia-mg,2026-03-26,161.48,128.41,132.57,101.9
5,belo-horizonte-mg-uberlandia-mg,2026-03-27,136.39,154.2,132.57,163.23
6,belo-horizonte-mg-uberlandia-mg,2026-03-28,130.89,120.1,101.41,101.52
7,belo-horizonte-mg-uberlandia-mg,2026-03-29,150.66,231.94,132.57,224.73
1,campinas-sp-rio-de-janeiro-rj,2026-03-23,142.08,142.7,137.45,136.43
2,campinas-sp-rio-de-janeiro-rj,2026-03-24,161.6,148.28,164.99,154.99
3,campinas-sp-rio-de-janeiro-rj,2026-03-25,148.15,140.59,139.99,131.74
4,campinas-sp-rio-de-janeiro-rj,2026-03-26,149.48,146.64,150.45,139.99
5,campinas-sp-rio-de-janeiro-rj,2026-03-27,155.26,138.3,157.91,134.45
6,campinas-sp-rio-de-janeiro-rj,2026-03-28,162.87,160.15,159.99,159.99
7,campinas-sp-rio-de-janeiro-rj,2026-03-29,139.43,147.84,139.43,130.46
1,campinas-sp-sao-paulo-sp,2026-03-23,55.51,55.32,56.2,56.5
2,campinas-sp-sao-paulo-sp,2026-03-24,55.21,55.2,56.2,56.2
3,campinas-sp-sao-paulo-sp,2026-03-25,55.86,55.36,56.2,56.2
4,campinas-sp-sao-paulo-sp,2026-03-26,55.44,55.27,56.2,56.2
5,campinas-sp-sao-paulo-sp,2026-03-27,55.51,55.56,56.2,56.2
6,campinas-sp-sao-paulo-sp,2026-03-28,55.51,55.69,56.2,56.2
7,campinas-sp-sao-paulo-sp,2026-03-29,55.56,55.99,56.2,56.2
1,governador-valadares-mg-sao-paulo-sp,2026-03-23,254.8,270.45,249.99,256.96
2,governador-valadares-mg-sao-paulo-sp,2026-03-24,233.03,244.54,226.32,251.5
3,governador-valadares-mg-sao-paulo-sp,2026-03-25,258.53,252.8,245.91,251.5
4,governador-valadares-mg-sao-paulo-sp,2026-03-26,229.88,240.15,224.69,239.92
5,governador-valadares-mg-sao-paulo-sp,2026-03-27,240.29,270.19,231.72,255.05
6,governador-valadares-mg-sao-paulo-sp,2026-03-28,243.26,265.8,239.9,255.05
7,governador-valadares-mg-sao-paulo-sp,2026-03-29,229.93,255.75,223.79,253.13
1,ipatinga-mg-vitoria-es,2026-03-23,120.74,103.01,120.62,103.01
2,ipatinga-mg-vitoria-es,2026-03-24,89.29,111.11,89.29,114.07
3,ipatinga-mg-vitoria-es,2026-03-25,89.29,106.1,89.29,105.79
4,ipatinga-mg-vitoria-es,2026-03-26,99.2,102.27,89.29,102.27
5,ipatinga-mg-vitoria-es,2026-03-27,88.65,98.74,86.12,98.74
6,ipatinga-mg-vitoria-es,2026-03-28,94.18,93.17,94.19,93.17
7,ipatinga-mg-vitoria-es,2026-03-29,89.92,105.79,92.45,105.79
1,ribeirao-preto-sp-sao-paulo-sp,2026-03-23,161.39,159.07,158.9,155.3
2,ribeirao-preto-sp-sao-paulo-sp,2026-03-24,160.47,158.96,155.3,155.3
3,ribeirao-preto-sp-sao-paulo-sp,2026-03-25,160.36,159.39,155.3,157.1
4,ribeirao-preto-sp-sao-paulo-sp,2026-03-26,160.16,158.05,155.3,155.3
5,ribeirao-preto-sp-sao-paulo-sp,2026-03-27,164.98,170.05,158.9,158.9
6,ribeirao-preto-sp-sao-paulo-sp,2026-03-28,160.5,159.44,158.9,157.1
7,ribeirao-preto-sp-sao-paulo-sp,2026-03-29,164.72,170.03,158.9,158.9
1,rio-de-janeiro-rj-sao-paulo-sp,2026-03-23,131.85,122.53,129.99,124.9
2,rio-de-janeiro-rj-sao-paulo-sp,2026-03-24,119.83,116.97,118.48,118.36
3,rio-de-janeiro-rj-sao-paulo-sp,2026-03-25,120.18,117.24,115.98,118.51
4,rio-de-janeiro-rj-sao-paulo-sp,2026-03-26,120.4,116.75,115.48,119.99
5,rio-de-janeiro-rj-sao-paulo-sp,2026-03-27,123.8,117.15,119.99,119.9
6,rio-de-janeiro-rj-sao-paulo-sp,2026-03-28,110.64,104.82,109.99,99.99
7,rio-de-janeiro-rj-sao-paulo-sp,2026-03-29,113.49,107.32,109.99,105.45
1,rio-de-janeiro-rj-uberlandia-mg,2026-03-23,222.99,255.31,222.99,258.97
2,rio-de-janeiro-rj-uberlandia-mg,2026-03-24,228.59,240.07,230.99,239.97
3,rio-de-janeiro-rj-uberlandia-mg,2026-03-25,236.48,238.14,230.99,233.98
4,rio-de-janeiro-rj-uberlandia-mg,2026-03-26,237.38,242.65,230.99,237.99
5,rio-de-janeiro-rj-uberlandia-mg,2026-03-27,257.32,267.37,230.99,259.95
6,rio-de-janeiro-rj-uberlandia-mg,2026-03-28,228.49,239.18,228.49,237.99
7,rio-de-janeiro-rj-uberlandia-mg,2026-03-29,234.58,238.11,225.98,238.98
1,rio-de-janeiro-rj-vitoria-es,2026-03-23,134.71,165.55,129.9,159.9
2,rio-de-janeiro-rj-vitoria-es,2026-03-24,131.1,154.27,129.9,147.4
3,rio-de-janeiro-rj-vitoria-es,2026-03-25,133.61,144.52,129.9,145.9
4,rio-de-janeiro-rj-vitoria-es,2026-03-26,131.53,132.19,129.9,139.91
5,rio-de-janeiro-rj-vitoria-es,2026-03-27,134.73,147.41,129.95,145.91
6,rio-de-janeiro-rj-vitoria-es,2026-03-28,128.83,149.16,129.9,145.9
