trecho_unico,media_preco_atual,media_preco_referencia,mediana_preco_atual,mediana_preco_referencia
rio-de-janeiro-rj-vitoria-es,132.17,139.99,124.83,139.12
campinas-sp-rio-de-janeiro-rj,149.47,149.99,147.13,148.78
belo-horizonte-mg-brasilia-df,243.76,235.87,233.24,230.41
belo-horizonte-mg-cabo-frio-rj,238.12,182.94,236.07,184.45
ribeirao-preto-sp-sao-paulo-sp,161.41,161.11,156.9,156.65
belo-horizonte-mg-rio-de-janeiro-rj,146.88,145.67,150.33,152.58
belo-horizonte-mg-montes-claros-mg,155.89,167.64,139.98,156.52
sao-paulo-sp-vitoria-es,249.12,242.4,251.6,238.46
belo-horizonte-mg-sao-paulo-sp,177.26,181.33,168.0,174.97
rio-de-janeiro-rj-uberlandia-mg,236.29,242.49,231.35,239.79
governador-valadares-mg-sao-paulo-sp,253.46,241.21,256.0,237.17
belo-horizonte-mg-uberlandia-mg,133.76,142.93,119.14,126.05
sao-jose-dos-campos-sp-sao-paulo-sp,47.08,47.35,47.59,47.93
ipatinga-mg-vitoria-es,101.11,101.95,98.17,100.29
rio-de-janeiro-rj-sao-paulo-sp,108.93,112.28,107.21,111.88
belo-horizonte-mg-governador-valadares-mg,132.92,136.65,123.01,131.97
campinas-sp-sao-paulo-sp,55.23,55.17,56.2,56.22
