antecedencia,trecho_unico,data,media_preco_atual,media_preco_referencia,mediana_preco_atual,mediana_preco_referencia
14,belo-horizonte-mg-brasilia-df,2026-04-02,310.94,383.47,305.99,368.97
17,belo-horizonte-mg-brasilia-df,2026-04-05,312.77,344.76,312.99,336.53
14,belo-horizonte-mg-cabo-frio-rj,2026-04-02,250.7,277.97,268.9,329.9
17,belo-horizonte-mg-cabo-frio-rj,2026-04-05,301.9,300.63,319.9,339.9
14,belo-horizonte-mg-governador-valadares-mg,2026-04-02,141.77,168.81,136.08,188.67
17,belo-horizonte-mg-governador-valadares-mg,2026-04-05,157.03,147.17,177.1,143.28
14,belo-horizonte-mg-montes-claros-mg,2026-04-02,169.7,222.14,159.95,229.41
17,belo-horizonte-mg-montes-claros-mg,2026-04-05,165.01,229.64,141.99,228.62
14,belo-horizonte-mg-rio-de-janeiro-rj,2026-04-02,251.69,218.97,264.99,249
17,belo-horizonte-mg-rio-de-janeiro-rj,2026-04-05,199.34,177.81,219.9,169.9
14,belo-horizonte-mg-sao-paulo-sp,2026-04-02,188.23,233.21,184.99,242.5
17,belo-horizonte-mg-sao-paulo-sp,2026-04-05,182.22,237.35,173.52,244.04
14,belo-horizonte-mg-uberlandia-mg,2026-04-02,170.29,234.82,163.88,224.59
17,belo-horizonte-mg-uberlandia-mg,2026-04-05,166.64,225.72,163.5,246.68
14,campinas-sp-rio-de-janeiro-rj,2026-04-02,174.66,208.07,179.99,209.99
17,campinas-sp-rio-de-janeiro-rj,2026-04-05,170.76,210.53,169.99,221.64
14,campinas-sp-sao-paulo-sp,2026-04-02,55.41,55.15,56.2,56.2
17,campinas-sp-sao-paulo-sp,2026-04-05,55.14,54.86,56.2,56.2
14,governador-valadares-mg-sao-paulo-sp,2026-04-02,292.59,326.81,299.91,313.3
17,governador-valadares-mg-sao-paulo-sp,2026-04-05,309.24,330.93,307.48,316.69
14,ribeirao-preto-sp-sao-paulo-sp,2026-04-02,161.93,170.15,158.9,158.9
17,ribeirao-preto-sp-sao-paulo-sp,2026-04-05,166.76,159.75,155.3,158.9
14,rio-de-janeiro-rj-sao-paulo-sp,2026-04-02,142.46,164.86,147.3,152.99
17,rio-de-janeiro-rj-sao-paulo-sp,2026-04-05,151.22,162.54,155.98,163.99
14,rio-de-janeiro-rj-vitoria-es,2026-04-02,232.65,222.25,215.92,239.91
17,rio-de-janeiro-rj-vitoria-es,2026-04-05,236.38,275.31,215.92,239.99
14,sao-jose-dos-campos-sp-sao-paulo-sp,2026-04-02,51.8,47.26,50.3,47.75
17,sao-jose-dos-campos-sp-sao-paulo-sp,2026-04-05,47.07,46.68,47.8,47.75
14,sao-paulo-sp-vitoria-es,2026-04-02,380.65,402.83,401.37,395.92
17,sao-paulo-sp-vitoria-es,2026-04-05,365.17,419.08,401.37,439.99
